answer,correct_answer,score
Aam Syandler,Adam Sandler,0.92
Aam Szandler,Adam Sandler,0.92
Aam aSandler,Adam Sandler,0.92
Aam andler,Adam Sandler,0.91
Aam bSandler,Adam Sandler,0.92
Aam cSandler,Adam Sandler,0.92
Aam dSandler,Adam Sandler,0.92
Aam fSandler,Adam Sandler,0.92
Aam gSandler,Adam Sandler,0.92
Aam hSandler,Adam Sandler,0.92
Aam iSandler,Adam Sandler,0.92
Aam jSandler,Adam Sandler,0.92
Aam kSandler,Adam Sandler,0.92
Aam lSandler,Adam Sandler,0.92
Aam mSandler,Adam Sandler,0.92
Aam pSandler,Adam Sandler,0.92
Aam qSandler,Adam Sandler,0.92
Aam rSandler,Adam Sandler,0.92
Aam sSandler,Adam Sandler,0.92
Aam tSandler,Adam Sandler,0.92
Aam uSandler,Adam Sandler,0.92
Aam vSandler,Adam Sandler,0.92
Aam wSandler,Adam Sandler,0.92
Aam xSandler,Adam Sandler,0.92
Aam ySandler,Adam Sandler,0.92
Aam zSandler,Adam Sandler,0.92
AamSandler,Adam Sandler,0.91
Aama Sandler,Adam Sandler,0.92
Aamb Sandler,Adam Sandler,0.92
Aamc Sandler,Adam Sandler,0.92
Aamd Sandler,Adam Sandler,0.92
Aame Sandler,Adam Sandler,0.92
Aamf Sandler,Adam Sandler,0.92
Aamh Sandler,Adam Sandler,0.92
Aami Sandler,Adam Sandler,0.92
Aamk Sandler,Adam Sandler,0.92
Aaml Sandler,Adam Sandler,0.92
Aamm Sandler,Adam Sandler,0.92
Aamn Sandler,Adam Sandler,0.92
Aamo Sandler,Adam Sandler,0.92
Aamp Sandler,Adam Sandler,0.92
Aamq Sandler,Adam Sandler,0.92
Aamr Sandler,Adam Sandler,0.92
Aams Sandler,Adam Sandler,0.92
Aamt Sandler,Adam Sandler,0.92
Aamu Sandler,Adam Sandler,0.92
Aamw Sandler,Adam Sandler,0.92
Aamy Sandler,Adam Sandler,0.92
Aamz Sandler,Adam Sandler,0.92
Aanm Sandler,Adam Sandler,0.92
Aaqm Sandler,Adam Sandler,0.92
Aarm Sandler,Adam Sandler,0.92
Aatm Sandler,Adam Sandler,0.92
Aaum Sandler,Adam Sandler,0.92
Aavm Sandler,Adam Sandler,0.92
Aaxm Sandler,Adam Sandler,0.92
Aazm Sandler,Adam Sandler,0.92
Abam Sandler,Adam Sandler,0.92
Abda Sandler,Adam Sandler,0.92
Abdam Saendler,Adam Sandler,0.92
Abdam Sanbdler,Adam Sandler,0.92
Abdam Sander,Adam Sandler,0.92
Abdam Sandle,Adam Sandler,0.92
Abdam Sandlehr,Adam Sandler,0.92
Abdam Sandler,Adam Sandler,0.96
Abdam Sandlger,Adam Sandler,0.92
Abdam Sandlper,Adam Sandler,0.92
Abdam Sandlr,Adam Sandler,0.92
Abdam Sandyler,Adam Sandler,0.92
Abdam Sanler,Adam Sandler,0.92
Abdam Saundler,Adam Sandler,0.92
Abdam Sgandler,Adam Sandler,0.92
Abdam Sndler,Adam Sandler,0.92
Abdam qSandler,Adam Sandler,0.92
Abdamc Sandler,Adam Sandler,0.92
Abdamq Sandler,Adam Sandler,0.92
Abdzam Sandler,Adam Sandler,0.92
Acda Sandler,Adam Sandler,0.92
Acdam Sadler,Adam Sandler,0.92
Acdam Sagndler,Adam Sandler,0.92
Acdam Sander,Adam Sandler,0.92
Acdam Sandle,Adam Sandler,0.92
Acdam Sandledr,Adam Sandler,0.92
Acdam Sandleir,Adam Sandler,0.92
Acdam Sandlepr,Adam Sandler,0.92
Acdam Sandler,Adam Sandler,0.96
Acdam Sandlexr,Adam Sandler,0.92
Acdam Sandlher,Adam Sandler,0.92
Acdam Sandller,Adam Sandler,0.92
Acdam Sandlr,Adam Sandler,0.92
Acdam Sandrler,Adam Sandler,0.92
Acdam Sanedler,Adam Sandler,0.92
Acdam Sanler,Adam Sandler,0.92
Acdam Sanvdler,Adam Sandler,0.92
Acdam Sbandler,Adam Sandler,0.92
Acdam Slandler,Adam Sandler,0.92
Acdam Sndler,Adam Sandler,0.92
Acdam Szandler,Adam Sandler,0.92
Acdam andler,Adam Sandler,0.92
Acdam nSandler,Adam Sandler,0.92
Acdam rSandler,Adam Sandler,0.92
Acdam ySandler,Adam Sandler,0.92
AcdamSandler,Adam Sandler,0.92
Acdamk Sandler,Adam Sandler,0.92
Acdamq Sandler,Adam Sandler,0.92
Acdarm Sandler,Adam Sandler,0.92
Acdazm Sandler,Adam Sandler,0.92
Acddam Sandler,Adam Sandler,0.92
Acdram Sandler,Adam Sandler,0.92
Acdtam Sandler,Adam Sandler,0.92
Ad Sandler,Adam Sandler,0.91
Ada Saandler,Adam Sandler,0.92
Ada Sabndler,Adam Sandler,0.92
Ada Sadler,Adam Sandler,0.91
Ada Sadndler,Adam Sandler,0.92
Ada Saendler,Adam Sandler,0.92
Ada Safndler,Adam Sandler,0.92
Ada Sagndler,Adam Sandler,0.92
Ada Sahndler,Adam Sandler,0.92
Ada Sajndler,Adam Sandler,0.92
Ada Sakndler,Adam Sandler,0.92
Ada Salndler,Adam Sandler,0.92
Ada Samndler,Adam Sandler,0.92
Ada Sanadler,Adam Sandler,0.92
Ada Sanbdler,Adam Sandler,0.92
Ada Sancdler,Adam Sandler,0.92
Ada Sandaler,Adam Sandler,0.92
Ada Sandbler,Adam Sandler,0.92
Ada Sandcler,Adam Sandler,0.92
Ada Sanddler,Adam Sandler,0.92
Ada Sandeler,Adam Sandler,0.92
Ada Sander,Adam Sandler,0.91
Ada Sandfler,Adam Sandler,0.92
Ada Sandgler,Adam Sandler,0.92
Ada Sandjler,Adam Sandler,0.92
Ada Sandkler,Adam Sandler,0.92
Ada Sandlber,Adam Sandler,0.92
Ada Sandlcer,Adam Sandler,0.92
Ada Sandle,Adam Sandler,0.91
Ada Sandlear,Adam Sandler,0.92
Ada Sandlebr,Adam Sandler,0.92
Ada Sandlecr,Adam Sandler,0.92
Ada Sandledr,Adam Sandler,0.92
Ada Sandleer,Adam Sandler,0.92
Ada Sandlefr,Adam Sandler,0.92
Ada Sandlegr,Adam Sandler,0.92
Ada Sandlehr,Adam Sandler,0.92
Ada Sandleir,Adam Sandler,0.92
Ada Sandlejr,Adam Sandler,0.92
Ada Sandlekr,Adam Sandler,0.92
Ada Sandlelr,Adam Sandler,0.92
Ada Sandlemr,Adam Sandler,0.92
Ada Sandlepr,Adam Sandler,0.92
Ada Sandleqr,Adam Sandler,0.92
Ada Sandler,Adam Sandler,0.96
Ada Sandlerr,Adam Sandler,0.92
Ada Sandlesr,Adam Sandler,0.92
Ada Sandletr,Adam Sandler,0.92
Ada Sandleur,Adam Sandler,0.92
Ada Sandlevr,Adam Sandler,0.92
Ada Sandlewr,Adam Sandler,0.92
Ada Sandleyr,Adam Sandler,0.92
Ada Sandlfer,Adam Sandler,0.92
Ada Sandlger,Adam Sandler,0.92
Ada Sandlher,Adam Sandler,0.92
Ada Sandlier,Adam Sandler,0.92
Ada Sandljer,Adam Sandler,0.92
Ada Sandlker,Adam Sandler,0.92
Ada Sandller,Adam Sandler,0.92
Ada Sandlmer,Adam Sandler,0.92
Ada Sandlner,Adam Sandler,0.92
Ada Sandloer,Adam Sandler,0.92
Ada Sandlqer,Adam Sandler,0.92
Ada Sandlr,Adam Sandler,0.91
Ada Sandlrer,Adam Sandler,0.92
Ada Sandlser,Adam Sandler,0.92
Ada Sandlter,Adam Sandler,0.92
Ada Sandluer,Adam Sandler,0.92
Ada Sandlver,Adam Sandler,0.92
Ada Sandlwer,Adam Sandler,0.92
Ada Sandlxer,Adam Sandler,0.92
Ada Sandlyer,Adam Sandler,0.92
Ada Sandmler,Adam Sandler,0.92
Ada Sandnler,Adam Sandler,0.92
Ada Sandoler,Adam Sandler,0.92
Ada Sandqler,Adam Sandler,0.92
Ada Sandrler,Adam Sandler,0.92
Ada Sandsler,Adam Sandler,0.92
Ada Sanduler,Adam Sandler,0.92
Ada Sandwler,Adam Sandler,0.92
Ada Sandyler,Adam Sandler,0.92
Ada Sanfdler,Adam Sandler,0.92
Ada Sangdler,Adam Sandler,0.92
Ada Sanhdler,Adam Sandler,0.92
Ada Sanidler,Adam Sandler,0.92
Ada Sanjdler,Adam Sandler,0.92
Ada Sanldler,Adam Sandler,0.92
Ada Sanler,Adam Sandler,0.91
Ada Sanndler,Adam Sandler,0.92
Ada Sanodler,Adam Sandler,0.92
Ada Sanqdler,Adam Sandler,0.92
Ada Sanrdler,Adam Sandler,0.92
Ada Sansdler,Adam Sandler,0.92
Ada Santdler,Adam Sandler,0.92
Ada Sanvdler,Adam Sandler,0.92
Ada Sanwdler,Adam Sandler,0.92
Ada Sanydler,Adam Sandler,0.92
Ada Sanzdler,Adam Sandler,0.92
Ada Saondler,Adam Sandler,0.92
Ada Sapndler,Adam Sandler,0.92
Ada Sarndler,Adam Sandler,0.92
Ada Sasndler,Adam Sandler,0.92
Ada Satndler,Adam Sandler,0.92
Ada Saundler,Adam Sandler,0.92
Ada Savndler,Adam Sandler,0.92
Ada Sawndler,Adam Sandler,0.92
Ada Sazndler,Adam Sandler,0.92
Ada Sbandler,Adam Sandler,0.92
Ada Scandler,Adam Sandler,0.92
Ada Sdandler,Adam Sandler,0.92
Ada Seandler,Adam Sandler,0.92
Ada Sfandler,Adam Sandler,0.92
Ada Sgandler,Adam Sandler,0.92
Ada Siandler,Adam Sandler,0.92
Ada Sjandler,Adam Sandler,0.92
Ada Skandler,Adam Sandler,0.92
Ada Slandler,Adam Sandler,0.92
Ada Smandler,Adam Sandler,0.92
Ada Snandler,Adam Sandler,0.92
Ada Sndler,Adam Sandler,0.91
Ada Soandler,Adam Sandler,0.92
Ada Spandler,Adam Sandler,0.92
Ada Srandler,Adam Sandler,0.92
Ada Ssandler,Adam Sandler,0.92
Ada Standler,Adam Sandler,0.92
Ada Suandler,Adam Sandler,0.92
Ada Svandler,Adam Sandler,0.92
Ada Swandler,Adam Sandler,0.92
Ada Sxandler,Adam Sandler,0.92
Ada Syandler,Adam Sandler,0.92
Ada Szandler,Adam Sandler,0.92
Ada aSandler,Adam Sandler,0.92
Ada andler,Adam Sandler,0.91
Ada bSandler,Adam Sandler,0.92
Ada cSandler,Adam Sandler,0.92
Ada fSandler,Adam Sandler,0.92
Ada gSandler,Adam Sandler,0.92
Ada hSandler,Adam Sandler,0.92
Ada iSandler,Adam Sandler,0.92
Ada jSandler,Adam Sandler,0.92
Ada kSandler,Adam Sandler,0.92
Ada lSandler,Adam Sandler,0.92
Ada mSandler,Adam Sandler,0.92
Ada oSandler,Adam Sandler,0.92
Ada pSandler,Adam Sandler,0.92
Ada rSandler,Adam Sandler,0.92
Ada tSandler,Adam Sandler,0.92
Ada uSandler,Adam Sandler,0.92
Ada xSandler,Adam Sandler,0.92
Ada ySandler,Adam Sandler,0.92
AdaSandler,Adam Sandler,0.91
Adaa Sandler,Adam Sandler,0.92
Adaafm Sandler,Adam Sandler,0.92
Adaalm Sandler,Adam Sandler,0.92
Adaam Sadler,Adam Sandler,0.92
Adaam Sagndler,Adam Sandler,0.92
Adaam Sahndler,Adam Sandler,0.92
Adaam Sanddler,Adam Sandler,0.92
Adaam Sander,Adam Sandler,0.92
Adaam Sandhler,Adam Sandler,0.92
Adaam Sandle,Adam Sandler,0.92
Adaam Sandlear,Adam Sandler,0.92
Adaam Sandlebr,Adam Sandler,0.92
Adaam Sandledr,Adam Sandler,0.92
Adaam Sandlefr,Adam Sandler,0.92
Adaam Sandler,Adam Sandler,0.96
Adaam Sandloer,Adam Sandler,0.92
Adaam Sandlr,Adam Sandler,0.92
Adaam Sandlrer,Adam Sandler,0.92
Adaam Sandpler,Adam Sandler,0.92
Adaam Sandvler,Adam Sandler,0.92
Adaam Sanedler,Adam Sandler,0.92
Adaam Sanler,Adam Sandler,0.92
Adaam Sanodler,Adam Sandler,0.92
Adaam Sansdler,Adam Sandler,0.92
Adaam Saundler,Adam Sandler,0.92
Adaam Sawndler,Adam Sandler,0.92
Adaam Shandler,Adam Sandler,0.92
Adaam Sjandler,Adam Sandler,0.92
Adaam Sndler,Adam Sandler,0.92
Adaam Soandler,Adam Sandler,0.92
Adaam Standler,Adam Sandler,0.92
Adaam aSandler,Adam Sandler,0.92
Adaam andler,Adam Sandler,0.92
Adaam sSandler,Adam Sandler,0.92
AdaamSandler,Adam Sandler,0.92
Adaama Sandler,Adam Sandler,0.92
Adaamc Sandler,Adam Sandler,0.92
Adaamj Sandler,Adam Sandler,0.92
Adaamk Sandler,Adam Sandler,0.92
Adaaml Sandler,Adam Sandler,0.92
Adaamo Sandler,Adam Sandler,0.92
Adabm Sadler,Adam Sandler,0.92
Adabm Sadndler,Adam Sandler,0.92
Adabm Sander,Adam Sandler,0.92
Adabm Sandiler,Adam Sandler,0.92
Adabm Sandle,Adam Sandler,0.92
Adabm Sandler,Adam Sandler,0.96
Adabm Sandlr,Adam Sandler,0.92
Adabm Sandlrer,Adam Sandler,0.92
Adabm Sandmler,Adam Sandler,0.92
Adabm Sandnler,Adam Sandler,0.92
Adabm Sandyler,Adam Sandler,0.92
Adabm Sanler,Adam Sandler,0.92
Adabm Sanodler,Adam Sandler,0.92
Adabm Sansdler,Adam Sandler,0.92
Adabm Sarndler,Adam Sandler,0.92
Adabm Siandler,Adam Sandler,0.92
Adabm Sndler,Adam Sandler,0.92
Adabm andler,Adam Sandler,0.92
Adac Sandler,Adam Sandler,0.92
Adacm Sadler,Adam Sandler,0.92
Adacm Sagndler,Adam Sandler,0.92
Adacm Sandcler,Adam Sandler,0.92
Adacm Sander,Adam Sandler,0.92
Adacm Sandle,Adam Sandler,0.92
Adacm Sandlegr,Adam Sandler,0.92
Adacm Sandler,Adam Sandler,0.96
Adacm Sandljer,Adam Sandler,0.92
Adacm Sandlqer,Adam Sandler,0.92
Adacm Sandlr,Adam Sandler,0.92
Adacm Sandluer,Adam Sandler,0.92
Adacm Sandzler,Adam Sandler,0.92
Adacm Sanler,Adam Sandler,0.92
Adacm Sanmdler,Adam Sandler,0.92
Adacm Saondler,Adam Sandler,0.92
Adacm Sawndler,Adam Sandler,0.92
Adacm Scandler,Adam Sandler,0.92
Adacm Sndler,Adam Sandler,0.92
Adacm Srandler,Adam Sandler,0.92
Adacm aSandler,Adam Sandler,0.92
Adacm andler,Adam Sandler,0.92
Adacm dSandler,Adam Sandler,0.92
Adacm xSandler,Adam Sandler,0.92
AdacmSandler,Adam Sandler,0.92
Adacmh Sandler,Adam Sandler,0.92
Adacmp Sandler,Adam Sandler,0.92
Adacmw Sandler,Adam Sandler,0.92
Adad Sandler,Adam Sandler,0.92
Adadm Sadler,Adam Sandler,0.92
Adadm Sadndler,Adam Sandler,0.92
Adadm Salndler,Adam Sandler,0.92
Adadm Sanddler,Adam Sandler,0.92
Adadm Sander,Adam Sandler,0.92
Adadm Sandle,Adam Sandler,0.92
Adadm Sandleer,Adam Sandler,0.92
Adadm Sandler,Adam Sandler,0.96
Adadm Sandlr,Adam Sandler,0.92
Adadm Sanhdler,Adam Sandler,0.92
Adadm Sanler,Adam Sandler,0.92
Adadm Sarndler,Adam Sandler,0.92
Adadm Seandler,Adam Sandler,0.92
Adadm Sfandler,Adam Sandler,0.92
Adadm Siandler,Adam Sandler,0.92
Adadm Sndler,Adam Sandler,0.92
Adadm Ssandler,Adam Sandler,0.92
Adadm kSandler,Adam Sandler,0.92
Adadm ySandler,Adam Sandler,0.92
AdadmSandler,Adam Sandler,0.92
Adadme Sandler,Adam Sandler,0.92
Adadmo Sandler,Adam Sandler,0.92
Adae Sandler,Adam Sandler,0.92
Adaem Sander,Adam Sandler,0.92
Adaem Sandle,Adam Sandler,0.92
Adaem Sandledr,Adam Sandler,0.92
Adaem Sandlehr,Adam Sandler,0.92
Adaem Sandleor,Adam Sandler,0.92
Adaem Sandler,Adam Sandler,0.96
Adaem Sandlr,Adam Sandler,0.92
Adaem Sandlyer,Adam Sandler,0.92
Adaem Sanduler,Adam Sandler,0.92
Adaem Sanler,Adam Sandler,0.92
Adaem Sanndler,Adam Sandler,0.92
Adaem Sdandler,Adam Sandler,0.92
Adaem Siandler,Adam Sandler,0.92
Adaem Smandler,Adam Sandler,0.92
Adaem Sndler,Adam Sandler,0.92
Adaem Swandler,Adam Sandler,0.92
Adaem andler,Adam Sandler,0.92
Adaem pSandler,Adam Sandler,0.92
AdaemSandler,Adam Sandler,0.92
Adaemr Sandler,Adam Sandler,0.92
Adafm Sacndler,Adam Sandler,0.92
Adafm Sadler,Adam Sandler,0.92
Adafm Sagndler,Adam Sandler,0.92
Adafm Sancdler,Adam Sandler,0.92
Adafm Sandcler,Adam Sandler,0.92
Adafm Sander,Adam Sandler,0.92
Adafm Sandle,Adam Sandler,0.92
Adafm Sandleer,Adam Sandler,0.92
Adafm Sandler,Adam Sandler,0.96
Adafm Sandlewr,Adam Sandler,0.92
Adafm Sandlier,Adam Sandler,0.92
Adafm Sandlmer,Adam Sandler,0.92
Adafm Sanler,Adam Sandler,0.92
Adafm Sarndler,Adam Sandler,0.92
Adafm Sfandler,Adam Sandler,0.92
Adafm Sndler,Adam Sandler,0.92
Adafm andler,Adam Sandler,0.92
Adafm ySandler,Adam Sandler,0.92
AdafmSandler,Adam Sandler,0.92
Adafmy Sandler,Adam Sandler,0.92
Adag Sandler,Adam Sandler,0.92
Adagm Sadler,Adam Sandler,0.92
Adagm Sadndler,Adam Sandler,0.92
Adagm Sajndler,Adam Sandler,0.92
Adagm Sander,Adam Sandler,0.92
Adagm Sandle,Adam Sandler,0.92
Adagm Sandlegr,Adam Sandler,0.92
Adagm Sandler,Adam Sandler,0.96
Adagm Sandlr,Adam Sandler,0.92
Adagm Sandlser,Adam Sandler,0.92
Adagm Sandqler,Adam Sandler,0.92
Adagm Sanhdler,Adam Sandler,0.92
Adagm Sanler,Adam Sandler,0.92
Adagm Smandler,Adam Sandler,0.92
Adagm Sndler,Adam Sandler,0.92
Adagm Srandler,Adam Sandler,0.92
Adagm Sxandler,Adam Sandler,0.92
Adagm andler,Adam Sandler,0.92
AdagmSandler,Adam Sandler,0.92
Adagml Sandler,Adam Sandler,0.92
Adagmw Sandler,Adam Sandler,0.92
Adah Sandler,Adam Sandler,0.92
Adahm Sadler,Adam Sandler,0.92
Adahm Sandle,Adam Sandler,0.92
Adahm Sandler,Adam Sandler,0.96
Adahm Sandlerr,Adam Sandler,0.92
Adahm Sandlr,Adam Sandler,0.92
Adahm Sandwler,Adam Sandler,0.92
Adahm Sangdler,Adam Sandler,0.92
Adahm Sanler,Adam Sandler,0.92
Adahm Sayndler,Adam Sandler,0.92
Adahm Sndler,Adam Sandler,0.92
Adahm andler,Adam Sandler,0.92
AdahmSandler,Adam Sandler,0.92
Adahmd Sandler,Adam Sandler,0.92
Adai Sandler,Adam Sandler,0.92
Adaim Sadler,Adam Sandler,0.92
Adaim Safndler,Adam Sandler,0.92
Adaim Sandeler,Adam Sandler,0.92
Adaim Sander,Adam Sandler,0.92
Adaim Sandgler,Adam Sandler,0.92
Adaim Sandle,Adam Sandler,0.92
Adaim Sandlemr,Adam Sandler,0.92
Adaim Sandler,Adam Sandler,0.96
Adaim Sandlesr,Adam Sandler,0.92
Adaim Sandlr,Adam Sandler,0.92
Adaim Sandzler,Adam Sandler,0.92
Adaim Sanhdler,Adam Sandler,0.92
Adaim Sanler,Adam Sandler,0.92
Adaim Sdandler,Adam Sandler,0.92
Adaim Sndler,Adam Sandler,0.92
Adaim andler,Adam Sandler,0.92
Adaim pSandler,Adam Sandler,0.92
AdaimSandler,Adam Sandler,0.92
Adaimr Sandler,Adam Sandler,0.92
Adaj Sandler,Adam Sandler,0.92
Adajm Sadler,Adam Sandler,0.92
Adajm Sander,Adam Sandler,0.92
Adajm Sandgler,Adam Sandler,0.92
Adajm Sandle,Adam Sandler,0.92
Adajm Sandler,Adam Sandler,0.96
Adajm Sandlper,Adam Sandler,0.92
Adajm Sandlr,Adam Sandler,0.92
Adajm Sandlrer,Adam Sandler,0.92
Adajm Sandlser,Adam Sandler,0.92
Adajm Sandoler,Adam Sandler,0.92
Adajm Sandrler,Adam Sandler,0.92
Adajm Sandsler,Adam Sandler,0.92
Adajm Sandzler,Adam Sandler,0.92
Adajm Sanler,Adam Sandler,0.92
